  0%|▎                                                                                                                 | 31/10000 [00:04<26:09,  6.35it/s]
Episode 194 | Reward: 2.00
Episode 195 | Reward: 2.00
Episode 196 | Reward: 2.00
Episode 197 | Reward: 2.00
Episode 198 | Reward: 2.00
Episode 199 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep200.pt
Episode 200 | Reward: 2.00
Episode 201 | Reward: 2.00
Episode 202 | Reward: 2.00
Episode 203 | Reward: 2.00
Episode 204 | Reward: 2.00
Episode 205 | Reward: 2.00
Episode 206 | Reward: 2.00
Episode 207 | Reward: 2.00
Episode 208 | Reward: 2.00
Episode 209 | Reward: 2.00
Episode 210 | Reward: 2.00
Episode 211 | Reward: 2.00
Episode 212 | Reward: 2.00
Episode 213 | Reward: 2.00
Episode 214 | Reward: 2.00
Episode 215 | Reward: 2.00
Episode 216 | Reward: 2.00
Episode 217 | Reward: 2.00
Episode 218 | Reward: 2.00
Episode 219 | Reward: 2.00
Episode 220 | Reward: 2.00
Episode 221 | Reward: 2.00
Episode 222 | Reward: 2.00
Episode 223 | Reward: 2.00
Episode 224 | Reward: 2.00
Episode 225 | Reward: 2.00
Episode 226 | Reward: 2.00
Episode 227 | Reward: 2.00
Episode 228 | Reward: 2.00
Episode 229 | Reward: 2.00
Episode 230 | Reward: 2.00
Episode 231 | Reward: 2.00
Episode 232 | Reward: 2.00
Episode 233 | Reward: 2.00
Episode 234 | Reward: 2.00
Episode 235 | Reward: 2.00
Episode 236 | Reward: 2.00
Episode 237 | Reward: 2.00
Episode 238 | Reward: 2.00
Episode 239 | Reward: 2.00
Episode 240 | Reward: 2.00
Episode 241 | Reward: 2.00
Episode 242 | Reward: 2.00
Episode 243 | Reward: 2.00
Episode 244 | Reward: 2.00
Episode 245 | Reward: 2.00
Episode 246 | Reward: 2.00
Episode 247 | Reward: 2.00
Episode 248 | Reward: 2.00
Episode 249 | Reward: 2.00
Episode 250 | Reward: 2.00
Episode 251 | Reward: 2.00
Episode 252 | Reward: 2.00
Episode 253 | Reward: 2.00
Episode 254 | Reward: 2.00
Episode 255 | Reward: 2.00
Episode 256 | Reward: 2.00
Episode 257 | Reward: 2.00
Episode 258 | Reward: 2.00
Episode 259 | Reward: 2.00
Episode 260 | Reward: 2.00
Episode 261 | Reward: 2.00
Episode 262 | Reward: 2.00
Episode 263 | Reward: 2.00
Episode 264 | Reward: 2.00
Episode 265 | Reward: 2.00
Episode 266 | Reward: 2.00
Episode 267 | Reward: 2.00
Episode 268 | Reward: 2.00
Episode 269 | Reward: 2.00
Episode 270 | Reward: 2.00
Episode 271 | Reward: 2.00
Episode 272 | Reward: 2.00
Episode 273 | Reward: 2.00
Episode 274 | Reward: 2.00
Episode 275 | Reward: 2.00
Episode 276 | Reward: 2.00
Episode 277 | Reward: 2.00
Episode 278 | Reward: 2.00
Episode 279 | Reward: 2.00
Episode 280 | Reward: 2.00
Episode 281 | Reward: 2.00
Episode 282 | Reward: 2.00
Episode 283 | Reward: 2.00
Episode 284 | Reward: 2.00
Episode 285 | Reward: 2.00
Episode 286 | Reward: 2.00
Episode 287 | Reward: 2.00
Episode 288 | Reward: 2.00
Episode 289 | Reward: 2.00
Episode 290 | Reward: 2.00
Episode 291 | Reward: 2.00
Episode 292 | Reward: 2.00
Episode 293 | Reward: 2.00
Episode 294 | Reward: 2.00
Episode 295 | Reward: 2.00
Episode 296 | Reward: 2.00
Episode 297 | Reward: 2.00
Episode 298 | Reward: 2.00
Episode 299 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep300.pt
Episode 300 | Reward: 2.00
Episode 301 | Reward: 2.00
Episode 302 | Reward: 2.00
Episode 303 | Reward: 2.00
Episode 304 | Reward: 2.00
Episode 305 | Reward: 2.00
Episode 306 | Reward: 2.00
Episode 307 | Reward: 2.00
Episode 308 | Reward: 2.00
Episode 309 | Reward: 2.00
Episode 310 | Reward: 2.00
Episode 311 | Reward: 2.00
Episode 312 | Reward: 2.00
Episode 313 | Reward: 2.00
Episode 314 | Reward: 2.00
Episode 315 | Reward: 2.00
Episode 316 | Reward: 2.00
Episode 317 | Reward: 2.00
Episode 318 | Reward: 2.00
Episode 319 | Reward: 2.00
Episode 320 | Reward: 2.00
Episode 321 | Reward: 2.00
Episode 322 | Reward: 2.00
Episode 323 | Reward: 2.00
Episode 324 | Reward: 2.00
Episode 325 | Reward: 2.00
Episode 326 | Reward: 2.00
Episode 327 | Reward: 2.00
Episode 328 | Reward: 2.00
Episode 329 | Reward: 2.00
Episode 330 | Reward: 2.00
Episode 331 | Reward: 2.00
Episode 332 | Reward: 2.00
Episode 333 | Reward: 2.00
Episode 334 | Reward: 2.00
Episode 335 | Reward: 2.00
Episode 336 | Reward: 2.00
Episode 337 | Reward: 2.00
Episode 338 | Reward: 2.00
Episode 339 | Reward: 2.00
Episode 340 | Reward: 2.00
Episode 341 | Reward: 2.00
Episode 342 | Reward: 2.00
Episode 343 | Reward: 2.00
Episode 344 | Reward: 2.00
Episode 345 | Reward: 2.00
Episode 346 | Reward: 2.00
Episode 347 | Reward: 2.00
Episode 348 | Reward: 2.00
Episode 349 | Reward: 2.00
Episode 350 | Reward: 2.00
Episode 351 | Reward: 2.00
Episode 352 | Reward: 2.00
Episode 353 | Reward: 2.00
Episode 354 | Reward: 2.00
Episode 355 | Reward: 2.00
Episode 356 | Reward: 2.00
Episode 357 | Reward: 2.00
Episode 358 | Reward: 2.00
Episode 359 | Reward: 2.00
Episode 360 | Reward: 2.00
Episode 361 | Reward: 2.00
Episode 362 | Reward: 2.00
Episode 363 | Reward: 2.00
Episode 364 | Reward: 2.00
Episode 365 | Reward: 2.00
Episode 366 | Reward: 2.00
Episode 367 | Reward: 2.00
Episode 368 | Reward: 2.00
Episode 369 | Reward: 2.00
Episode 370 | Reward: 2.00
Episode 371 | Reward: 2.00
Episode 372 | Reward: 2.00
Episode 373 | Reward: 2.00
Episode 374 | Reward: 2.00
Episode 375 | Reward: 2.00
Episode 376 | Reward: 2.00
Episode 377 | Reward: 2.00
Episode 378 | Reward: 2.00
Episode 379 | Reward: 2.00
Episode 380 | Reward: 2.00
Episode 381 | Reward: 2.00
Episode 382 | Reward: 2.00
Episode 383 | Reward: 2.00
Episode 384 | Reward: 2.00
Episode 385 | Reward: 2.00
Episode 386 | Reward: 2.00
Episode 387 | Reward: 2.00
Episode 388 | Reward: 2.00
Episode 389 | Reward: 2.00
Episode 390 | Reward: 2.00
Episode 391 | Reward: 2.00
Episode 392 | Reward: 2.00
Episode 393 | Reward: 2.00
Episode 394 | Reward: 2.00
Episode 395 | Reward: 2.00
Episode 396 | Reward: 2.00
Episode 397 | Reward: 2.00
Episode 398 | Reward: 2.00
Episode 399 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep400.pt
Episode 400 | Reward: 2.00
Episode 401 | Reward: 2.00
Episode 402 | Reward: 2.00
Episode 403 | Reward: 2.00
